State,data_monthid,category,Million_Vehicle_Miles,area,monthid
new mexico,201903,All_Arterial_201802,2262,all,201802
oregon,201903,All_Arterial_201802,2634,all,201802
utah,201903,All_Arterial_201802,2257,all,201802
washington,201903,All_Arterial_201802,4693,all,201802
wyoming,201903,All_Arterial_201802,638,all,201802
connecticut,201907,Rural_Arterial_201806,148,rural,201806
maine,201907,Rural_Arterial_201806,505,rural,201806
massachusetts,201907,Rural_Arterial_201806,156,rural,201806
new hampshire,201907,Rural_Arterial_201806,321,rural,201806
new jersey,201907,Rural_Arterial_201806,237,rural,201806
new york,201907,Rural_Arterial_201806,1307,rural,201806
pennsylvania,201907,Rural_Arterial_201806,2045,rural,201806
rhode island,201907,Rural_Arterial_201806,54,rural,201806
vermont,201907,Rural_Arterial_201806,265,rural,201806
delaware,201907,Rural_Arterial_201806,204,rural,201806
district of columbia,201907,Rural_Arterial_201806,0,rural,201806
florida,201907,Rural_Arterial_201806,2121,rural,201806
georgia,201907,Rural_Arterial_201806,1537,rural,201806
maryland,201907,Rural_Arterial_201806,581,rural,201806
north carolina,201907,Rural_Arterial_201806,1934,rural,201806
south carolina,201907,Rural_Arterial_201806,1569,rural,201806
virginia,201907,Rural_Arterial_201806,1937,rural,201806
west virginia,201907,Rural_Arterial_201806,470,rural,201806
illinois,201907,Rural_Arterial_201806,1867,rural,201806
indiana,201907,Rural_Arterial_201806,1374,rural,201806
iowa,201907,Rural_Arterial_201806,1291,rural,201806
kansas,201907,Rural_Arterial_201806,949,rural,201806
michigan,201907,Rural_Arterial_201806,1721,rural,201806
minnesota,201907,Rural_Arterial_201806,1510,rural,201806
missouri,201907,Rural_Arterial_201806,1703,rural,201806
nebraska,201907,Rural_Arterial_201806,780,rural,201806
north dakota,201907,Rural_Arterial_201806,429,rural,201806
ohio,201907,Rural_Arterial_201806,1709,rural,201806
south dakota,201907,Rural_Arterial_201806,511,rural,201806
wisconsin,201907,Rural_Arterial_201806,1747,rural,201806
alabama,201907,Rural_Arterial_201806,1583,rural,201806
arkansas,201907,Rural_Arterial_201806,1053,rural,201806
kentucky,201907,Rural_Arterial_201806,1626,rural,201806
louisiana,201907,Rural_Arterial_201806,1167,rural,201806
mississippi,201907,Rural_Arterial_201806,1163,rural,201806
oklahoma,201907,Rural_Arterial_201806,1188,rural,201806
tennessee,201907,Rural_Arterial_201806,1567,rural,201806
texas,201907,Rural_Arterial_201806,4772,rural,201806
alaska,201907,Rural_Arterial_201806,140,rural,201806
arizona,201907,Rural_Arterial_201806,1040,rural,201806
california,201907,Rural_Arterial_201806,3204,rural,201806
colorado,201907,Rural_Arterial_201806,1050,rural,201806
hawaii,201907,Rural_Arterial_201806,85,rural,201806
idaho,201907,Rural_Arterial_201806,599,rural,201806
montana,201907,Rural_Arterial_201806,653,rural,201806
nevada,201907,Rural_Arterial_201806,424,rural,201806
new mexico,201907,Rural_Arterial_201806,832,rural,201806
oregon,201907,Rural_Arterial_201806,954,rural,201806
utah,201907,Rural_Arterial_201806,585,rural,201806
washington,201907,Rural_Arterial_201806,1063,rural,201806
wyoming,201907,Rural_Arterial_201806,448,rural,201806
connecticut,201907,Urban_Arterial_201806,1994,urban,201806
maine,201907,Urban_Arterial_201806,276,urban,201806
massachusetts,201907,Urban_Arterial_201806,4121,urban,201806
new hampshire,201907,Urban_Arterial_201806,583,urban,201806
new jersey,201907,Urban_Arterial_201806,4673,urban,201806
new york,201907,Urban_Arterial_201806,6673,urban,201806
pennsylvania,201907,Urban_Arterial_201806,4496,urban,201806
rhode island,201907,Urban_Arterial_201806,563,urban,201806
vermont,201907,Urban_Arterial_201806,128,urban,201806
delaware,201907,Urban_Arterial_201806,516,urban,201806
district of columbia,201907,Urban_Arterial_201806,248,urban,201806
florida,201907,Urban_Arterial_201806,10201,urban,201806
